                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6114,                 5.3139,                 2.7061,                0.89885,                0.87226,                0.96132,                 0.7748,                 1.6005,                 4.1274,                 3.2214,             0.00047446,             0.00047446,             0.00047446
                      2,                 1.4701,                 2.2397,                 2.4771,                0.92309,                0.92192,                 0.9739,                0.74358,                 1.9219,                 1.3553,                 3.6959,             0.00094138,             0.00094138,             0.00094138
                      3,                 1.4677,                 1.3403,                 2.4735,                0.93459,                0.89715,                0.97666,                0.81711,                 1.2048,                0.82208,                 2.5606,              0.0013989,              0.0013989,              0.0013989
                      4,                 1.3618,                 1.1123,                 2.3927,                0.95137,                0.90309,                0.96122,                 0.8087,                 1.4401,                0.84109,                 2.8807,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2871,                0.92093,                 2.3314,                0.95935,                0.97242,                0.99168,                0.89437,                 0.9446,                0.47703,                 2.2198,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2165,                0.82546,                  2.286,                0.97314,                0.94251,                0.98556,                0.83459,                 1.3009,                0.65515,                  2.604,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2266,                0.80326,                 2.2877,                0.95975,                0.95913,                0.98198,                0.89226,                0.88434,                0.64374,                 2.1557,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1503,                0.73398,                 2.2299,                0.92877,                0.95714,                0.98976,                0.89933,                0.92033,                0.53585,                 2.1827,                0.00133,                0.00133,                0.00133
                      9,                 1.1082,                 0.6988,                 2.2092,                0.96224,                0.97491,                 0.9926,                0.92927,                0.78513,                0.41735,                 2.0518,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0884,                 0.6719,                 2.1923,                0.97625,                0.97714,                 0.9935,                0.92075,                 0.8007,                0.39065,                 2.0699,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0724,                0.66086,                  2.184,                0.96878,                0.97593,                0.99305,                0.92455,                0.78323,                0.43544,                 2.0703,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0329,                0.62847,                 2.1564,                0.98377,                0.98009,                0.99408,                 0.8994,                0.89783,                0.38727,                 2.2081,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0382,                0.62263,                 2.1618,                0.98785,                0.94652,                0.99216,                0.92197,                0.80578,                0.42215,                 2.0527,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0382,                0.61489,                 2.1615,                0.93919,                0.93779,                0.97981,                 0.8956,                0.93666,                0.60339,                 2.1522,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0073,                 0.5974,                 2.1389,                0.99164,                0.96567,                0.99426,                0.90123,                0.84664,                0.39543,                 2.1465,              0.0012309,              0.0012309,              0.0012309
                     16,                0.98822,                0.58436,                 2.1326,                 0.9586,                0.98242,                0.99414,                 0.9211,                0.81397,                0.38698,                 2.0878,              0.0012168,              0.0012168,              0.0012168
                     17,                0.98623,                0.58198,                  2.127,                0.97676,                0.98618,                0.99413,                0.93874,                0.75143,                0.34441,                  2.031,              0.0012026,              0.0012026,              0.0012026
                     18,                0.98366,                0.57799,                 2.1291,                0.99183,                0.97384,                0.99392,                0.93598,                0.74524,                0.35588,                 2.0098,              0.0011885,              0.0011885,              0.0011885
                     19,                0.96588,                0.55811,                 2.1125,                0.96228,                0.96065,                0.98777,                0.93525,                0.71998,                0.46756,                 1.9852,              0.0011744,              0.0011744,              0.0011744
